Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g)
50:31.7,G:\WIT00021.TXT,40:13.7,0.432,0.491,0.762
50:31.7,G:\WIT00021.TXT,40:13.8,0.412,0.571,0.77
50:31.7,G:\WIT00021.TXT,40:13.8,0.426,0.509,0.71
50:31.7,G:\WIT00021.TXT,40:13.9,0.259,0.569,0.773
50:31.7,G:\WIT00021.TXT,40:14.0,0.148,0.602,0.546
50:31.7,G:\WIT00021.TXT,40:14.0,0.264,0.896,0.731
50:31.7,G:\WIT00021.TXT,40:14.1,0.182,0.776,0.426
50:31.7,G:\WIT00021.TXT,40:14.2,0.006,0.949,-0.326
50:31.7,G:\WIT00021.TXT,40:14.2,0.048,0.838,-0.952
50:31.7,G:\WIT00021.TXT,40:14.3,0.119,1.195,-0.835
50:31.7,G:\WIT00021.TXT,40:14.4,-0.175,1.232,-0.463
50:31.7,G:\WIT00021.TXT,40:14.4,-0.079,0.598,-0.728
50:31.7,G:\WIT00021.TXT,40:14.5,-0.758,0.715,-0.761
50:31.7,G:\WIT00021.TXT,40:14.6,-0.739,-0.441,-0.793
50:31.7,G:\WIT00021.TXT,40:14.6,-0.302,-0.194,-1.284
50:31.7,G:\WIT00021.TXT,40:14.7,0.228,0.348,-0.933
50:31.7,G:\WIT00021.TXT,40:14.7,0.842,0.563,-0.478
50:31.7,G:\WIT00021.TXT,40:14.8,0.39,0.812,-0.072
50:31.7,G:\WIT00021.TXT,40:14.9,0.181,0.632,-0.045
50:31.7,G:\WIT00021.TXT,40:14.9,0.656,0.404,0.002
50:31.7,G:\WIT00021.TXT,40:15.0,0.676,1.029,0.021
50:31.7,G:\WIT00021.TXT,40:15.1,0.103,1.321,-0.458
50:31.7,G:\WIT00021.TXT,40:15.1,-0.235,1.067,-0.959
50:31.7,G:\WIT00021.TXT,40:15.2,0.225,0.678,-1.215
50:31.7,G:\WIT00021.TXT,40:15.3,-0.232,0.791,-0.931
50:31.7,G:\WIT00021.TXT,40:15.3,0.125,0.209,-0.923
50:31.7,G:\WIT00021.TXT,40:15.4,0.167,0.082,-1.005
50:31.7,G:\WIT00021.TXT,40:15.5,0.231,-0.002,-1.051
50:31.7,G:\WIT00021.TXT,40:15.5,0.208,-0.238,-1.009
50:31.7,G:\WIT00021.TXT,40:15.6,0.343,-0.053,-0.945
50:31.7,G:\WIT00021.TXT,40:15.7,0.771,0.124,-0.743
50:31.7,G:\WIT00021.TXT,40:15.7,1.002,0.273,-0.015
50:31.7,G:\WIT00021.TXT,40:15.8,0.459,0.183,0.207
50:31.7,G:\WIT00021.TXT,40:15.9,0.716,0.313,-0.926
50:31.7,G:\WIT00021.TXT,40:15.9,0.694,0.705,-0.444
50:31.7,G:\WIT00021.TXT,40:16.0,0.485,0.49,-0.605
50:31.7,G:\WIT00021.TXT,40:16.0,0.341,0.728,-0.055
50:31.7,G:\WIT00021.TXT,40:16.1,0.387,1.091,-0.14
50:31.7,G:\WIT00021.TXT,40:16.2,0.482,1.428,-0.235
50:31.7,G:\WIT00021.TXT,40:16.2,0.359,1.2,-0.19
50:31.7,G:\WIT00021.TXT,40:16.3,0.276,1,-0.055
50:31.7,G:\WIT00021.TXT,40:16.4,0.184,0.725,-0.211
50:31.7,G:\WIT00021.TXT,40:16.4,0.276,0.93,-0.322
50:31.7,G:\WIT00021.TXT,40:16.5,0.518,0.972,-0.439
50:31.7,G:\WIT00021.TXT,40:16.6,0.441,0.414,-0.551
50:31.7,G:\WIT00021.TXT,40:16.6,-0.233,0.078,-0.469
50:31.7,G:\WIT00021.TXT,40:16.7,-0.63,0.555,-0.57
50:31.7,G:\WIT00021.TXT,40:16.8,-0.389,0.819,-0.7
50:31.7,G:\WIT00021.TXT,40:16.8,-0.114,0.767,-0.967
50:31.7,G:\WIT00021.TXT,40:16.9,0.311,0.386,-0.998
50:31.7,G:\WIT00021.TXT,40:17.0,-0.135,0.01,-0.961
50:31.7,G:\WIT00021.TXT,40:17.0,-0.089,0.18,-1.006
50:31.7,G:\WIT00021.TXT,40:17.1,-0.431,0.29,-0.885
50:31.7,G:\WIT00021.TXT,40:17.2,0.37,0.089,-0.816
50:31.7,G:\WIT00021.TXT,40:17.2,0.178,-0.222,-1.011
50:31.7,G:\WIT00021.TXT,40:17.3,0.071,-0.243,-1.087
50:31.7,G:\WIT00021.TXT,40:17.3,0.169,-0.126,-0.562
50:31.7,G:\WIT00021.TXT,40:17.4,0.232,-0.395,-0.826
50:31.7,G:\WIT00021.TXT,40:17.5,0.162,-0.399,-0.97
50:31.7,G:\WIT00021.TXT,40:17.5,0.252,-0.575,-0.862
50:31.7,G:\WIT00021.TXT,40:17.6,0.139,-0.505,-0.769
50:31.7,G:\WIT00021.TXT,40:17.7,0.115,-0.942,-0.446
